data,timestamp
802626.430,1739527651.922131
829734.597,1739527652.434413
982533.425,1739527652.895091
1079499.084,1739527653.458838
1085189.474,1739527653.919215
1067552.598,1739527654.430529
1011770.748,1739527654.891267
993605.672,1739527655.454871
1036833.696,1739527655.864256
1090808.154,1739527656.375319
1162333.753,1739527656.886991
1189604.863,1739527657.450142
1144511.379,1739527657.910895
1086274.531,1739527658.474644
1006547.690,1739527658.883768
977871.394,1739527659.395173
1032465.675,1739527659.907042
1088480.778,1739527660.419199
1146782.639,1739527660.930513
1198475.812,1739527661.390489
1239370.883,1739527661.902272
1272025.927,1739527662.465035
1291193.109,1739527662.874026
1303015.103,1739527663.438146
1302828.776,1739527663.898146
1231138.146,1739527664.409880
1042635.641,1739527664.922182
898647.405,1739527665.485901
827150.183,1739527665.895212
808018.887,1739527666.406759
874023.891,1739527666.918552
924542.029,1739527667.430206
949867.735,1739527667.890888
954977.985,1739527668.454703
927165.389,1739527668.863585
871968.736,1739527669.427300
772196.853,1739527669.888127
710185.812,1739527670.451313
709461.860,1739527670.912034
660402.047,1739527671.423872
532837.414,1739527671.935439
397032.509,1739527672.498238
247883.863,1739527672.907436
133233.417,1739527673.471303
74303.114,1739527673.880484
67285.910,1739527674.443432
144006.579,1739527674.903520
274320.302,1739527675.416662
491171.603,1739527675.877215
652342.292,1739527676.388478
723206.845,1739527676.900354
798856.064,1739527677.463429
882248.570,1739527677.923677
954249.371,1739527678.486451
1007737.757,1739527678.895075
1030049.234,1739527679.406379
1001696.772,1739527679.917671
949335.544,1739527680.377974
857973.500,1739527680.889426
773928.008,1739527681.400736
701746.798,1739527681.912622
655133.863,1739527682.424593
649905.664,1739527682.884809
633526.247,1739527683.447931
599106.808,1739527683.908297
634743.138,1739527684.419833
783700.252,1739527684.931204
871529.577,1739527685.443327
860285.910,1739527685.903834
889603.661,1739527686.364150
984599.725,1739527686.926139
1065133.929,1739527687.488653
1122209.973,1739527687.897750
1137598.157,1739527688.460546
1085306.673,1739527688.870973
1017987.763,1739527689.433320
926292.735,1739527689.893952
865332.780,1739527690.405201
854141.419,1739527690.916657
861919.394,1739527691.428583
900368.481,1739527691.941850
908657.265,1739527692.402764
868042.143,1739527692.914921
859546.474,1739527693.426998
902994.677,1739527693.887687
953954.504,1739527694.399280
1017048.341,1739527694.911553
1062972.311,1739527695.423873
1081114.140,1739527695.936005
1092653.344,1739527696.396603
1093497.253,1739527696.908468
1085189.904,1739527697.420175
1062042.829,1739527697.880642
1014006.236,1739527698.392592
925656.379,1739527698.903307
856434.180,1739527699.415124
818140.110,1739527699.926611
771295.403,1739527700.439044
710650.424,1739527700.899671
658021.348,1739527701.411388
618327.768,1739527701.923362
608371.798,1739527702.435957
646327.482,1739527702.897490
690260.641,1739527703.409017
743838.804,1739527703.869672
762657.051,1739527704.432551
725417.944,1739527704.892787
732977.574,1739527705.404365
812723.410,1739527705.915896
890501.144,1739527706.376435
965101.591,1739527706.888450
1034092.692,1739527707.400157
1093995.652,1739527707.911385
